id,year,type,weight_lbs
3379,2021,4,17828.1
3380,2021,3,17853.0
3381,2021,3,17877.9
3382,2021,3,17902.9
3383,2021,3,17927.8
3384,2021,4,17952.7
3385,2021,2,17977.7
3386,2021,4,18002.6
3387,2021,4,18027.5
3388,2021,4,18052.5
3389,2021,3,18077.4
3390,2021,4,18102.3
3391,2021,4,18127.3
3392,2021,2,18152.2
3393,2021,3,18177.1
3394,2021,3,18202.1
3395,2021,4,18227.0
3396,2021,4,18251.9
3397,2021,4,18276.8
3398,2021,4,18301.8
3399,2021,3,18326.7
3400,2021,3,18351.6
3401,2021,3,18376.6
3402,2021,3,18401.5
3403,2021,4,18426.4
3404,2021,5,18451.4
3405,2021,4,18476.3
3406,2021,5,18501.2
3407,2021,3,18526.2
3408,2021,3,18551.1
3409,2021,3,18576.0
3410,2021,4,18601.0
3411,2021,3,18625.9
3412,2021,4,18650.8
3413,2021,3,18675.8
3414,2021,3,18700.7
3415,2021,5,18725.6
3416,2021,3,18750.5
3417,2021,4,18775.5
3418,2021,3,18800.4
3419,2021,2,18825.3
3420,2021,4,18850.3
3421,2021,2,18875.2
3422,2021,4,18900.1
3423,2021,3,18925.1
3424,2021,3,18950.0
3425,2021,3,18974.9
3426,2021,3,18999.9
3427,2021,3,19024.8
3428,2021,4,19049.7
3429,2021,4,19074.7
3430,2021,3,19099.6
3431,2021,3,19124.5
3432,2021,3,19149.5
3433,2021,4,19174.4
3434,2021,3,19199.3
3435,2021,3,19224.2
3436,2021,5,19249.2
3437,2021,3,19274.1
3438,2021,5,19299.0
3439,2021,5,19324.0
3440,2021,3,19348.9
3441,2021,4,19373.8
3442,2021,5,19398.8
3443,2021,3,19423.7
3444,2021,3,19448.6
3445,2021,4,19473.6
3446,2021,3,19498.5
3447,2021,3,19523.4
3448,2021,4,19548.4
3449,2021,3,19573.3
3450,2021,4,19598.2
3451,2021,3,19623.2
3452,2021,5,19648.1
3453,2021,3,19673.0
3454,2021,4,19697.9
3455,2021,3,19722.9
3456,2021,5,19747.8
3457,2021,3,19772.7
3458,2021,3,19797.7
3459,2021,3,19822.6
3460,2021,5,19847.5
3461,2021,5,19872.5
3462,2021,3,19897.4
3463,2021,3,19922.3
3464,2021,3,19947.3
3465,2021,3,19972.2
3466,2021,3,19997.1
3467,2021,5,20022.1
3468,2021,3,20047.0
3469,2021,3,20071.9
3470,2021,5,20096.9
3471,2021,3,20121.8
3472,2021,3,20146.7
3473,2021,3,20171.6
3474,2021,4,20196.6
3475,2021,3,20221.5
3476,2021,3,20246.4
3477,2021,5,20271.4
3478,2021,4,20296.3
3479,2021,4,20321.2
3480,2021,3,20346.2
3481,2021,5,20371.1
3482,2021,5,20396.0
3483,2021,3,20421.0
3484,2021,3,20445.9
3485,2021,4,20470.8
3486,2021,3,20495.8
3487,2021,3,20520.7
3488,2021,5,20545.6
3489,2021,5,20570.6
3490,2021,5,20595.5
3491,2021,5,20620.4
3492,2021,5,20645.3
3493,2021,3,20670.3
3494,2021,3,20695.2
3495,2021,5,20720.1
3496,2021,2,20745.1
3497,2021,3,20770.0
3498,2021,3,20794.9
3499,2021,3,20819.9
3500,2021,4,20844.8
3501,2021,5,20869.7
3502,2021,3,20894.7
3503,2021,5,20919.6
3504,2021,3,20944.5
3505,2021,4,20969.5
3506,2021,5,20994.4
3507,2021,4,21019.3
3508,2021,4,21044.3
3509,2021,5,21069.2
3510,2021,3,21094.1
3511,2021,5,21119.0
3512,2021,5,21144.0
3513,2021,3,21168.9
3514,2021,4,21193.8
3515,2021,5,21218.8
3516,2021,3,21243.7
3517,2021,3,21268.6
3518,2021,3,21293.6
3519,2021,3,21318.5
3520,2021,3,21343.4
3521,2021,3,21368.4
3522,2021,3,21393.3
3523,2021,3,21418.2
3524,2021,3,21443.2
3525,2021,5,21468.1
3526,2021,5,21493.0
3527,2021,5,21518.0
3528,2021,4,21542.9
3529,2021,3,21567.8
3530,2021,3,21592.7
3531,2021,3,21617.7
3532,2021,3,21642.6
3533,2021,3,21667.5
3534,2021,3,21692.5
3535,2021,4,21717.4
3536,2021,3,21742.3
3537,2021,3,21767.3
3538,2021,3,21792.2
3539,2021,3,21817.1
3540,2021,3,21842.1
3541,2021,3,21867.0
3542,2021,4,21891.9
3543,2021,4,21916.9
3544,2021,3,21941.8
3545,2021,4,21966.7
3546,2021,3,21991.7
3547,2021,4,22016.6
3548,2021,3,22041.5
3549,2021,4,22066.4
3550,2021,3,22091.4
3551,2021,3,22116.3
3552,2021,5,22141.2
3553,2021,3,22166.2
3554,2021,3,22191.1
3555,2021,3,22216.0
3556,2021,3,22241.0
3557,2021,4,22265.9
3558,2021,4,22290.8
3559,2021,4,22315.8
3560,2021,3,22340.7
